"annotation_id","annotator","comment","created_at","id","lead_time","sentiment","target_by_RuBRT-tiny_no_processing","target_by_RuBRT-tiny_processing","target_by_stars","updated_at"
126,"2","Не понимаю отрицательных отзывов! Вы как будто специально пишите их. Арбуз очень сочный и сладкий! Вкусный! Мне даже летом менее сладкие и вкусные попадаются.","2025-05-21T13:26:08.243332Z",624,8.873,"1",1,0,1,"2025-05-21T13:26:08.243369Z"
127,"2","Наполовину гнилые.","2025-05-21T13:26:12.457802Z",625,3.812,"0",0,0,0,"2025-05-21T13:26:12.457835Z"
128,"2","Безвкусная клубника, брала почти каждый день. В этот раз совсем плохая","2025-05-21T13:26:27.280405Z",626,14.42,"0",0,1,0,"2025-05-21T13:26:27.280443Z"
129,"2","сладкий. плоды крупные и одинакового размера.
брала еще ""отборное""
одна страна произв. Перу но по вкусу этому винограду проигрывает.","2025-05-21T13:26:40.783915Z",627,13.107,"1",0,0,1,"2025-05-21T13:26:40.783965Z"
130,"2","Сладкий и вкусный","2025-05-21T13:26:43.526525Z",628,2.375,"1",1,1,1,"2025-05-21T13:26:43.526563Z"
131,"2","Сладкий и всегда свежий","2025-05-21T13:26:49.857397Z",629,5.98,"1",1,1,1,"2025-05-21T13:26:49.857435Z"
132,"2","Вкусные бананы даже по скидке","2025-05-21T13:26:52.934125Z",630,2.664,"1",1,1,1,"2025-05-21T13:26:52.934157Z"
133,"2","Половина яблок мятые, с побитыми боками:(","2025-05-21T13:26:57.400437Z",631,4.098,"0",0,0,0,"2025-05-21T13:26:57.400476Z"
134,"2","Груши деревянные несъедобные","2025-05-21T13:27:00.456379Z",632,2.684,"0",0,0,0,"2025-05-21T13:27:00.456423Z"
135,"2","Заплесневели на следующий день","2025-05-21T13:27:05.652526Z",633,4.794,"0",0,0,0,"2025-05-21T13:27:05.652563Z"
136,"2","Виноград не кислый, но и не особо сладкий, больше всего не понравилась толстая кожа..","2025-05-21T13:27:12.202860Z",634,6.089,"0",0,0,1,"2025-05-21T13:27:12.202901Z"
137,"2","Цены во ВВ растут быстрее, чем я успеваю заказать второй раз понравившийся товар...","2025-05-21T13:27:20.201460Z",635,7.224,"0",0,1,1,"2025-05-21T13:27:20.201514Z"
138,"2","Не вкусный, вялый, не сладкий, зря потраченные деньги 880 руб.","2025-05-21T13:27:24.964072Z",636,4.33,"0",0,0,0,"2025-05-21T13:27:24.964113Z"
139,"2","Отличных три корнеплода с зелеными листочками. Как раз для свекольника!","2025-05-21T13:27:31.290010Z",637,5.562,"1",1,1,1,"2025-05-21T13:27:31.290054Z"
140,"2","Хорошие, но очень мелкие мандарины","2025-05-21T13:27:46.057052Z",638,14.307,"1",1,1,1,"2025-05-21T13:27:46.057089Z"
141,"2","Яблоки пришли внешне твёрдые, а внутри рыхлые. Покупала для сока, не получился сок. И есть их невкусно.","2025-05-21T13:27:52.514447Z",639,5.747,"0",0,0,0,"2025-05-21T13:27:52.514510Z"
142,"2","Сухие внутри","2025-05-21T13:27:55.499920Z",640,2.152,"0",0,0,0,"2025-05-21T13:27:55.499967Z"
143,"2","Не плотный,сухой,плохой!((((","2025-05-21T13:28:01.781909Z",641,5.812,"0",0,0,0,"2025-05-21T13:28:01.781994Z"
144,"2","Понравился","2025-05-21T13:28:05.142780Z",642,2.8,"1",1,1,1,"2025-05-21T13:28:05.142818Z"
145,"2","Вкусная. Для клубники, которую везут в Москву, очень даже хороша. Спасибо тем, кто вырастил и собрал.","2025-05-21T13:28:12.853897Z",643,7.078,"1",1,1,1,"2025-05-21T13:28:12.853945Z"
146,"2","Сладкие, сочные, вкусные!","2025-05-21T13:28:15.927319Z",644,2.539,"1",1,1,1,"2025-05-21T13:28:15.927386Z"
147,"2","нормально, есть можно","2025-05-21T13:28:20.218683Z",645,3.616,"1",1,1,1,"2025-05-21T13:28:20.218757Z"
148,"2","Как повезет… в этот раз попался жесткий и неспелый. Лежал несколько дней, но в итоге просто испортился и мягче не стал 😑","2025-05-21T13:28:29.557532Z",646,8.796,"0",0,0,0,"2025-05-21T13:28:29.557597Z"
149,"2","Помороженные, под кожурой поврежденные","2025-05-21T13:28:36.370843Z",647,6.327,"0",0,0,0,"2025-05-21T13:28:36.370909Z"
150,"2","Клубника свежая, из новой видимо партии. Безвкусная совершенно,как трава","2025-05-21T13:28:49.587022Z",648,12.441,"0",0,0,0,"2025-05-21T13:28:49.587137Z"
151,"2","Почти не сладкие, но мягкие и сочные.","2025-05-21T13:29:08.905477Z",649,18.806,"1",1,0,1,"2025-05-21T13:29:08.905545Z"
152,"2","Очень кислый, ребенок есть не смог","2025-05-21T13:29:12.050551Z",650,2.716,"0",0,0,0,"2025-05-21T13:29:12.050599Z"
153,"2","Супер арбуз. Косточек мало, мякоть розовая. Не супер прям сладкий, но на уровне. Для мая прям огнище. Видимо кому-то просто не везёт, сама боялась покупать 😁но подумала, что в Иране уже должны быть сладкие арбузы","2025-05-21T13:29:21.032546Z",651,8.33,"1",1,1,1,"2025-05-21T13:29:21.032602Z"
154,"2","Забродившая :) выпили и закусили одновременно","2025-05-21T13:29:27.816756Z",652,6.157,"0",1,0,1,"2025-05-21T13:29:27.816807Z"
155,"2","Мелкие, жестковатые, но сладкие и спелые.","2025-05-21T13:29:34.428508Z",653,5.891,"1",1,1,1,"2025-05-21T13:29:34.428576Z"
156,"2","Вкусная. Только нужно неделю держать на подоконнике, чтобы дозрела и стала мягкой и вкусной.","2025-05-21T13:29:41.263228Z",654,6.104,"1",1,1,1,"2025-05-21T13:29:41.263322Z"
157,"2","Хорошая ягодка. Только одну штучку выкинула. Была немного мятая. Вкусно, кисло-сладко. Но мало :(","2025-05-21T13:29:50.713646Z",655,9.106,"1",1,1,1,"2025-05-21T13:29:50.713681Z"
158,"2","Авокадо идеальные пришли","2025-05-21T13:29:54.467536Z",656,3.254,"1",1,1,1,"2025-05-21T13:29:54.467603Z"
159,"2","Отличные бананы, цена тоже","2025-05-21T13:29:57.232436Z",657,2.373,"1",1,1,1,"2025-05-21T13:29:57.232466Z"
160,"2","Сварил его в мундире - какой то водянистый, невкусный. Остаток думаю вообще выкинуть.","2025-05-21T13:30:03.341713Z",658,5.478,"0",0,0,0,"2025-05-21T13:30:03.341750Z"
161,"2","Привезли вкусные и свежие","2025-05-21T13:30:06.483105Z",659,2.432,"1",1,1,1,"2025-05-21T13:30:06.483191Z"
162,"2","Очень сладкие и вкусные!","2025-05-21T13:30:08.938566Z",660,2.028,"1",1,1,1,"2025-05-21T13:30:08.938607Z"
163,"2","Привезли зеленые абрикосы.","2025-05-21T13:30:13.583013Z",661,4.041,"0",0,0,0,"2025-05-21T13:30:13.583052Z"
164,"2","Мелкие и вялые. К сорту Гала имеют очень отдаленное отношение.","2025-05-21T13:30:19.428777Z",662,5.113,"0",0,0,0,"2025-05-21T13:30:19.428840Z"
165,"2","Написано - крупные ягоды. Привезли обычный виноград. Раньше брали его - все норм было","2025-05-21T13:30:27.006189Z",663,7.124,"0",0,0,0,"2025-05-21T13:30:27.006230Z"
166,"2","Без вкуса и запаха( кислая","2025-05-21T13:30:31.161277Z",664,3.441,"0",0,0,0,"2025-05-21T13:30:31.161318Z"
167,"2","Отличная","2025-05-21T13:30:33.955517Z",665,2.115,"1",1,1,1,"2025-05-21T13:30:33.955558Z"
168,"2","Вкусная! На сегодняшний день самая лучшая!","2025-05-21T13:30:39.962056Z",666,5.317,"1",1,1,1,"2025-05-21T13:30:39.962122Z"
169,"2","Вкусно","2025-05-21T13:30:43.149147Z",667,2.796,"1",1,1,1,"2025-05-21T13:30:43.149186Z"
170,"2","Безвкусные","2025-05-21T13:30:48.672108Z",668,4.889,"0",1,1,0,"2025-05-21T13:30:48.672167Z"
171,"2","Весь зеленый, на выброс все что привезли","2025-05-21T13:31:09.169914Z",669,19.983,"0",0,0,0,"2025-05-21T13:31:09.169999Z"
172,"2","Просто супер, спасибо 🌹","2025-05-21T13:31:14.410933Z",670,4.821,"1",1,1,1,"2025-05-21T13:31:14.410975Z"
173,"2","Люблю крупные яблоки.","2025-05-21T13:31:19.191317Z",671,3.643,"1",1,1,1,"2025-05-21T13:31:19.191388Z"
174,"2","Вквсные","2025-05-21T13:31:22.869679Z",672,3.083,"1",1,1,1,"2025-05-21T13:31:22.869715Z"
175,"2","Вообще невкусный. Были пару гнилых ягод. Иногда попадались косточки,но главная претензия что он несладкий","2025-05-21T13:31:30.345764Z",673,6.61,"0",0,0,0,"2025-05-21T13:31:30.345830Z"
176,"2","Апельсины неплохие по вкусу,но немного суховаты....видимо от долгого хранения...скоро уже новый крожай","2025-05-21T13:31:44.745189Z",674,13.965,"1",0,1,1,"2025-05-21T13:31:44.745231Z"
177,"2","Воды много, мякоть вкусная. Плесени нет(но, почитав отзывы, пить через трубочку, не видя что внутри, неприятно. Было страшно расколоть и увидеть плесень.)
Раскалывать удобно, положив кокос в полиэтиленовый пакетик и держать за него, чтобы ничего в лицо не отлетело и не попасть по руке😅 и пару раз хорошенько стукнуть молотком.","2025-05-21T13:32:04.515015Z",675,19.149,"1",0,0,1,"2025-05-21T13:32:04.515049Z"
178,"2","Возникают сомнения насчёт фермерскости чеснока. Очень похож на обычный китайский.","2025-05-21T13:32:11.139500Z",676,5.87,"0",0,0,1,"2025-05-21T13:32:11.139570Z"
179,"2","Сочная,приятная, но не очень сладкая","2025-05-21T13:32:17.063210Z",677,5.548,"1",1,0,1,"2025-05-21T13:32:17.063372Z"
180,"2","Крупная водянистая ни капли не сладкая!!!","2025-05-21T13:32:21.373196Z",678,3.521,"0",1,0,0,"2025-05-21T13:32:21.373332Z"
181,"2","Капуста ОПТОРГ ООО пришла с виде рыхлого кочана с дыркой от ножа. Хорошо что деньги вернули","2025-05-21T13:32:29.895904Z",679,7.989,"0",0,0,0,"2025-05-21T13:32:29.895971Z"
182,"2","Хорошая капуста, выбирала сама в магазине","2025-05-21T13:32:35.164588Z",680,4.692,"1",1,1,1,"2025-05-21T13:32:35.164656Z"
183,"2","Не сладкий, мякоть вялая и водянистая. Такое впечатление, что дозревал., но так и не дошел до заявленной кондиции, и стал вянуть и портиться. Выбрали любимым продуктом по старой памяти, но не угадали 🤷🏻‍♀️","2025-05-21T13:32:44.111721Z",681,8.547,"0",0,0,0,"2025-05-21T13:32:44.111757Z"
184,"2","ГАММА ТРЕЙД очень вкусная - крупная, душистая, сочная, сладкая и крупная ягода, даже по зц идеальная","2025-05-21T13:32:49.514959Z",682,4.804,"1",1,1,1,"2025-05-21T13:32:49.514997Z"
185,"2","Безвкусная дыня
Ужасная
Деньги на ветер
Купили 2 шт , обе выбросили
Обе","2025-05-21T13:32:54.866491Z",683,4.866,"0",0,0,0,"2025-05-21T13:32:54.866558Z"
186,"2","Бананы были несладкие, хотя и желтые(","2025-05-21T13:33:03.564557Z",684,8.112,"0",0,0,0,"2025-05-21T13:33:03.564589Z"
187,"2","Почему то в последний раз были какие-то мелкие мандарины, может перепутали сорт?","2025-05-21T13:33:11.136369Z",685,6.86,"0",0,0,1,"2025-05-21T13:33:11.136442Z"
188,"2","Замечательные мандарины! Никогда бы не подумала, что буду килограммами есть мандарины весной. В начале апреля привлекли своим внешним видом в магазине, но не было возможности купить с собой, заказали доставкой на дом и с тех пор съели килограмм 7. Я даже ничего не писала сборщику (как привыкла в отношении других фруктов и овощей), всегда привозили отличные мандарины. Сладкие, легко чистятся, достаточно сочные, единицы попадались с косточками, но таких правда минимум, за раз легко было увлечься и съесть штук 5-7 сразу.","2025-05-21T13:33:17.057777Z",686,5.454,"1",1,1,1,"2025-05-21T13:33:17.057820Z"
189,"2","Вкус не выраженный.","2025-05-21T13:33:21.177388Z",687,3.392,"0",0,0,1,"2025-05-21T13:33:21.177426Z"
190,"2","Привезли доставкой не хороший лук , уже некоторые луковицы начали портиться, плесень, лучше самой выбирать в магазине конечно, но не всегда получается","2025-05-21T13:33:27.543606Z",688,5.61,"0",0,0,0,"2025-05-21T13:33:27.543671Z"
191,"2","Подсунули другой сорт яблок! Сорт Гала крупные яблоки, а мне привезли мелкие!","2025-05-21T13:33:33.303408Z",689,5.209,"0",0,0,0,"2025-05-21T13:33:33.303454Z"
192,"2","Мелкие и кислые. Невкусные совершенно. Непонятно вообще тот ли сорт привезли","2025-05-21T13:33:47.242889Z",690,13.511,"0",0,0,0,"2025-05-21T13:33:47.242924Z"
193,"2","Абсолютно все мандарины привезли гнилые ! Просто позорище!!!!!","2025-05-21T13:33:52.597677Z",691,4.578,"0",0,0,0,"2025-05-21T13:33:52.597743Z"
194,"2","Брала по недельной скидке и осталась недовольна. Толстая кожура, мякоть рыхлая, вялая, какие-то даже забродившие по вкусу, от сладости осталось одно название. До этого брали по ЗЦ, таких проблем не было. Уфа","2025-05-21T13:34:04.487774Z",692,11.516,"0",0,0,1,"2025-05-21T13:34:04.487810Z"
195,"2","Вкусные даже по зц","2025-05-21T13:34:15.749565Z",693,10.663,"1",1,1,1,"2025-05-21T13:34:15.749617Z"
196,"2","Вкусные.","2025-05-21T13:34:17.805175Z",694,1.39,"1",1,1,1,"2025-05-21T13:34:17.805225Z"
197,"2","Деревянные помидоры","2025-05-21T13:34:21.209970Z",695,1.796,"0",0,0,0,"2025-05-21T13:34:21.210007Z"
198,"2","Яблоки приехали другого сорта под надписью Гала. Не такие сочные и сладкие, с лёгкой горчинкой. Даже форма плода другая - вытянутая с заострённой попкой.","2025-05-21T13:34:34.344685Z",696,12.064,"0",0,0,1,"2025-05-21T13:34:34.344722Z"
199,"2","Были зелёные и чёрные, помятые. По зелёному ценнику, поэтому не стала возмущаться, просто больше не буду брать, не ожидала конечно, что вообще такой кошмар привезут, все придавленные и чёрные внутри","2025-05-21T13:34:45.319828Z",697,10.361,"0",0,0,0,"2025-05-21T13:34:45.319872Z"
200,"2","Сочный ,сладкий 😋 судовольствием поели и дети .","2025-05-21T13:34:48.832222Z",698,2.806,"1",1,1,1,"2025-05-21T13:34:48.832313Z"
201,"2","Арбуз хоть и красный, но безвкусный.","2025-05-21T13:34:53.386869Z",699,4.114,"0",0,0,0,"2025-05-21T13:34:53.386927Z"
202,"2","Сладкий. Красивый","2025-05-21T13:34:56.464113Z",700,2.258,"1",1,1,1,"2025-05-21T13:34:56.464186Z"
203,"2","Сладкая, ароматная, вкусная","2025-05-21T13:34:58.975884Z",701,1.996,"1",1,1,1,"2025-05-21T13:34:58.975927Z"
204,"2","Это не капуста а компост какой то.
Ужас (( разочарование даже не карустой а отношением к покупателю","2025-05-21T13:35:03.323785Z",702,3.739,"0",0,0,0,"2025-05-21T13:35:03.323822Z"
205,"2","Перемороженный","2025-05-21T13:35:05.705349Z",703,1.798,"0",0,0,0,"2025-05-21T13:35:05.705393Z"
206,"2","Отличная задумка - чистить не надо, вырезать сердцевину- не надо, сладкий, сочный, хорошего сорта, мы с мужем просто урчим от такой вкусноты","2025-05-21T13:35:14.308113Z",704,7.931,"1",1,1,1,"2025-05-21T13:35:14.308145Z"
207,"2","Полное соответствие представленной картинке: все ягоды крупные, красивые. На вкус отменные.","2025-05-21T13:35:19.972778Z",705,5.265,"1",1,1,1,"2025-05-21T13:35:19.972815Z"
208,"2","Яблоки хоть и красивые, и даже сочные, но совершенно безвкусные.
Неожиданное разочарование","2025-05-21T13:35:25.751012Z",706,5.159,"0",0,0,0,"2025-05-21T13:35:25.751050Z"
209,"2","Гладкие огурцы в мини формате. Маленькие, тонкие, очень мягкие, как будто давно лежали. Не понравились. Цена не соответствует качеству.","2025-05-21T13:35:35.141221Z",707,8.772,"0",0,0,0,"2025-05-21T13:35:35.141295Z"
210,"2","Бананы принесли все помятые, пришлось выбросить","2025-05-21T13:35:40.345347Z",708,4.45,"0",0,0,0,"2025-05-21T13:35:40.345415Z"
211,"2","Мне привезли отличную.","2025-05-21T13:35:42.817825Z",709,2.076,"1",1,1,1,"2025-05-21T13:35:42.817863Z"
212,"2","Мандарины красивые, но на вкус водянистые и не имеют вкуса. Не сезон, видимо .","2025-05-21T13:35:58.472575Z",710,14.932,"0",0,0,0,"2025-05-21T13:35:58.472641Z"
213,"2","Купила по зеленому ценнику. Была просто шикарная клубника. Ни одной испорченной, сладкая, крупная.","2025-05-21T13:36:05.811191Z",711,6.699,"1",0,0,1,"2025-05-21T13:36:05.811228Z"
214,"2","Беру часто, мне нравится, что не приторно сладкие","2025-05-21T13:36:17.129527Z",712,10.684,"1",1,1,1,"2025-05-21T13:36:17.129565Z"
215,"2","Привезли от ООО Фермер,клубника очень вкусная,сладкая,ароматная!","2025-05-21T13:36:20.687945Z",713,2.911,"1",1,1,1,"2025-05-21T13:36:20.687974Z"
216,"2","Привезли шикарную клубнику: свежая, вкусная, ароматная!","2025-05-21T13:36:24.438853Z",714,2.266,"1",1,1,1,"2025-05-21T13:36:24.438903Z"
217,"2","Были сладкие, повкуснее турецких","2025-05-21T13:36:28.599526Z",715,3.421,"1",1,1,1,"2025-05-21T13:36:28.599564Z"
218,"2","Кислющий виноград ,есть невозможно
В Приложении написано,сладкий...(","2025-05-21T13:36:32.482777Z",716,3.292,"0",0,0,0,"2025-05-21T13:36:32.482849Z"
219,"2","В магазине пахла приятно, дома попробовали привкус какой-то химозного раствора для мытья полов и химическое послевкусие.","2025-05-21T13:36:39.681476Z",717,6.795,"0",0,0,0,"2025-05-21T13:36:39.681513Z"
220,"2","Некоторые ягоды, которые покрупнее перезревшие, внутри коричневые","2025-05-21T13:36:45.944889Z",718,5.525,"0",0,0,0,"2025-05-21T13:36:45.944956Z"
221,"2","Вкусные и сладкие.","2025-05-21T13:36:48.001134Z",719,1.412,"1",1,1,1,"2025-05-21T13:36:48.001183Z"
222,"2","Сочный и сладкий, мне понравился","2025-05-21T13:36:54.281343Z",720,5.541,"1",1,1,1,"2025-05-21T13:36:54.281408Z"
223,"2","Хорошие","2025-05-21T13:36:55.853263Z",721,1.159,"1",1,1,1,"2025-05-21T13:36:55.853315Z"
224,"2","Мелкие, явно разных сортов, не вкусные. Для фото положила рядом зажигалку. Яблоко чуть больше 1/2 зажигалки. Курило наверно в детстве","2025-05-21T13:37:11.127142Z",722,14.643,"0",0,0,0,"2025-05-21T13:37:11.127185Z"
225,"2","Сливы пришли кислые, твердые, но полежали пару дней, стали мягче и достаточно сладкие.","2025-05-21T13:37:24.197642Z",723,12.516,"1",0,0,1,"2025-05-21T13:37:24.197713Z"
226,"2","Груши мягкие и вкусные, косточек практически нет.","2025-05-21T13:37:28.771440Z",724,4.128,"1",1,1,1,"2025-05-21T13:37:28.771479Z"
227,"2","Отличная капуста.","2025-05-21T13:37:34.095366Z",725,4.707,"1",1,1,1,"2025-05-21T13:37:34.095403Z"
228,"2","Внутри сухая","2025-05-21T13:37:37.292475Z",726,2.571,"0",0,0,0,"2025-05-21T13:37:37.292523Z"
229,"2","На фото красивые яблоки, в реальности маленькие сухие жесткие","2025-05-21T13:37:43.328713Z",727,5.286,"0",0,0,0,"2025-05-21T13:37:43.328776Z"
230,"2","Неплохие","2025-05-21T13:37:45.641647Z",728,1.79,"1",1,1,1,"2025-05-21T13:37:45.641685Z"
231,"2","Спелые, но водянистые. Слабый вкус","2025-05-21T13:37:51.208601Z",729,5.015,"0",0,0,0,"2025-05-21T13:37:51.208639Z"
232,"2","Незрелый не вкусный авокадо 👍🏻","2025-05-21T13:37:57.752724Z",730,5.769,"0",1,1,0,"2025-05-21T13:37:57.752799Z"
233,"2","Сладкие, яркие, сочные, вкуууусные","2025-05-21T13:38:00.721660Z",731,2.534,"1",1,1,1,"2025-05-21T13:38:00.721690Z"
234,"2","Не сладкая за такие деньги)","2025-05-21T13:38:07.719293Z",732,4.855,"0",0,0,0,"2025-05-21T13:38:07.719332Z"
235,"2","Открыли легко по инструкции, понравилось кокосовое молоко, вкусное, кокосовая стружка понравилась, хотя пришлось приложить усилия для ее добычи.","2025-05-21T13:38:18.842948Z",733,10.575,"1",1,1,1,"2025-05-21T13:38:18.843014Z"
236,"2","Это просто кайф! Сладкая, сочная. Крепкнькая. Ну оооочень вкусная. Спасибо ВВ!!!","2025-05-21T13:38:21.122166Z",734,1.874,"1",1,1,1,"2025-05-21T13:38:21.122202Z"
237,"2","Мне понравилось, что одно было спелое, а другое слегка недоспелое. Пока до него дошла очередь, доспело как раз)","2025-05-21T13:38:26.209315Z",735,4.44,"1",1,1,1,"2025-05-21T13:38:26.209368Z"
238,"2","Обычно сладкие и сочные.дозревают очень быстро","2025-05-21T13:38:29.550801Z",736,2.702,"1",1,1,1,"2025-05-21T13:38:29.550849Z"
239,"2","Очень кислый!!!","2025-05-21T13:38:31.606951Z",737,1.657,"0",0,0,0,"2025-05-21T13:38:31.606981Z"
240,"2","Из 2 х штук один черный внутри, другой как кирпич жесткий!","2025-05-21T13:38:36.874652Z",738,3.631,"0",0,0,0,"2025-05-21T13:38:36.874691Z"
241,"2","Очень жаль, но качество товара изменилось. Вместо крупных с толстой кожурой сладких мандарин в заказе мелкие кислые мандарины. Что это? Пересортица? На фотографии видны варианты ""до"" и ""после"" - крупные и мелкие с блестящей кожицей. Ну, и при покупке 1 кг обязательно появляется один мандарин с плесенью.","2025-05-21T13:38:44.150848Z",739,6.743,"0",0,0,0,"2025-05-21T13:38:44.150891Z"
242,"2","не вкусный, не сладкий, не хрустит","2025-05-21T13:38:51.996835Z",740,7.336,"0",0,0,0,"2025-05-21T13:38:51.996900Z"
243,"2","Вкусный виноград не сильно сладкий, упругий, большой рекомендую","2025-05-21T13:39:02.730510Z",741,10.203,"1",1,1,1,"2025-05-21T13:39:02.730570Z"
244,"2","Дороже и менее вкусно, чем классический киви.","2025-05-21T13:39:14.101853Z",742,10.635,"0",1,1,1,"2025-05-21T13:39:14.101890Z"
245,"2","Кислятина","2025-05-21T13:39:16.097676Z",743,1.605,"0",0,0,0,"2025-05-21T13:39:16.097713Z"
246,"2","Кислый 16.03.25","2025-05-21T13:39:18.551484Z",744,1.684,"0",0,0,0,"2025-05-21T13:39:18.551553Z"
247,"2","Вкусные, крупные , сладкие ягоды","2025-05-21T13:39:21.494789Z",745,2.444,"1",1,1,1,"2025-05-21T13:39:21.494827Z"
248,"2","Купила желтенькую грушу Вильямс . Очень сладкая и очень сочная !","2025-05-21T13:39:41.592579Z",746,19.491,"1",1,0,1,"2025-05-21T13:39:41.592610Z"
249,"2","Сладкая, хрустящая - груша настоящая!","2025-05-21T13:39:46.172853Z",747,3.997,"1",1,1,1,"2025-05-21T13:39:46.172890Z"
250,"2","Маленькие, но сладкие. Довольно твёрдые. По текстуре как яблоко. Хотелось бы поспелее","2025-05-21T13:39:58.690533Z",748,11.878,"1",1,0,1,"2025-05-21T13:39:58.690580Z"
251,"2","Внутри чёрные дыры, видно, что портится","2025-05-21T13:40:02.560755Z",749,3.226,"0",0,0,0,"2025-05-21T13:40:02.560792Z"
252,"2","Кислый","2025-05-21T13:40:04.534784Z",750,1.374,"0",0,0,0,"2025-05-21T13:40:04.534815Z"
253,"2","Привезли лук, абсолютно голый, а ведь Пасха уже прошла, чтобы шелуху снимать для окрашивания яиц!","2025-05-21T13:40:14.044778Z",751,9.078,"0",0,0,0,"2025-05-21T13:40:14.044830Z"
254,"2","Две звезды за два более менее мягких абрикоса
Недозрелые","2025-05-21T13:40:21.444849Z",752,6.992,"0",0,1,0,"2025-05-21T13:40:21.444899Z"
