author,comment,comment_pre_processing,date,url,product,stars,price,currency,weight,target_by_RuBRT-tiny_no_processing,target_by_stars,target_by_RuBRT-tiny_processing
Екатерина,"Повторная покупка — опять удачно. Персики небольшие, иногда с кислинкой. Все спелые, сладкие, мягкие. Ни одного зелёного бочка. Почти без запаха, но для начала мая, на мой вкус, отлично.",повторный покупка удачно персик небольшой кислинка всё спелый сладкий мягкий зелёный бочка запах начало вкус отлично,17 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Ника,"Не сладкие, не сочные и уже вялые, хотя стоят не по ЗЦ.",не сладкий не сочный вялый хотя стоять не,17 мая 2025  · Карта: xxx81,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Оксана,Вкусные и сладкие персики! Куплю ещё,вкусный сладкий персик купить,17 мая 2025  · Карта: xxx17,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
ИРИНА,"Покупала по зц. Мягкие, вкусные.",покупать мягкий вкусный,17 мая 2025  · Карта: xxx11,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Полиночка,Жëсткие.,жëсткий,17 мая 2025  · Карта: xxx03,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Ирина,"Безвкусные, половина мятые",безвкусный половина мятый,17 мая 2025  · Карта: xxx37,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,2,382,руб,/кг,0,0,0
Валерия,"Сочные, зрелые, сладкие 🤩",сочный зрелый сладкий,17 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
ЛИДИЯ,"Конечно, это еще не персики в привычном понимании, но тоже ничего",не персик привычный понимание,17 мая 2025  · Карта: xxx11,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,0,1,0
Людмила,"Привезли не крупные, но спелые и сочные, на вкус кисло-сладкие.",привезти не крупный спелый сочный вкус кислосладкое,16 мая 2025  · Карта: xxx54,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,0,1,0
ОКСАНА,"******* а не персики. Сухие, мелкие, кислые. Деньги на ветер.",не персик сухой мелкий кислый деньга ветер,16 мая 2025  · Карта: xxx53,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Ольга,Отличные персики,отличный персик,16 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Елена,"Каждую весну я с нетерпением жду появления этих египетских персиков. Они небольшого размера, но очень вкусные, с маленькой косточкой. Спасибо, ВВ!",каждый весна нетерпение ждать появление египетский персиковый небольшой размер очень вкусный маленький косточка спасибо,16 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Полина,Очень вкусно,очень вкусно,16 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
МАКСИМ СЕРГЕЕВИЧ,Не очень персики,не очень персик,16 мая 2025  · Карта: xxx98,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
ЕЛЕНА,"Пока не вкусно. Да, они сладкие и мягкие, на вид красивые. Но не сочные, как вата",пока не вкусно сладкий мягкий вид красивый не сочный вата,16 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,1,0,1
ТАТЬЯНА ВЛАДИМИРОВНА,"Не сочные, ватные персики",не сочный ватный персик,16 мая 2025  · Карта: xxx69,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
СВЕТЛАНА,Вкусные персики,вкусный персик,16 мая 2025  · Карта: xxx42,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Юлия,Безвкусное и незрелое нечто,безвкусный незрелый нечто,16 мая 2025  · Карта: xxx48,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,0,1,0
Ирина,"Осень мелкие как горох, на дозревание оставила",осень мелкий горох дозревание оставить,16 мая 2025  · Карта: xxx13,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,0,1,0
Наталия,"Такие персики стыдно предлагать. Я не ожидала вкуса летнего фрукта, но это(((",персик стыдно предлагать не ожидать вкус летний фрукт,16 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,0
ЕЛЕНА ИВАНОВНА,Очень плохие и несъедобные персики.Они мягкие ватно противные.,очень плохой несъедобный персикиони мягкий ватный противный,16 мая 2025  · Карта: xxx67,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,0,1,0
Светална,Не вкусные,не вкусный,16 мая 2025  · Карта: xxx40,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,0
Марк,Плесень,плесень,16 мая 2025  · Карта: xxx82,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,0
Маргарита,"Почти не сладкие, но мягкие и сочные.",не сладкий мягкий сочный,16 мая 2025  · Карта: xxx15,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,1,1,0
Галина,"Выбирала, сочные и сладкие",выбирать сочный сладкий,16 мая 2025  · Карта: xxx45,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Мария,"Персик был совершенно безвкусным неспелым. Один из них был фактически зеленый. Такой продукт продавать нельзя., он не готов к употреблению и есть это невозможно",персик совершенно безвкусный неспелый фактически зелёный продукт продавать не готовый употребление невозможно,16 мая 2025  · Карта: xxx76,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,0
АЛЕКСАНДРА,"Ароматные, сочные, очень вкусные❤️",ароматный сочный очень вкусные❤️,16 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Виктория,Приятно удивлена)) очень вкусные персики 🍑,приятно удивить очень вкусный персик,16 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Юлия,Дубовые,дубовый,15 мая 2025  · Карта: xxx52,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,0
Юлия,"Были сладкие, повкуснее турецких",сладкий вкусный турецкий,15 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Марта,"Зеленые, дубовые, им еще зреть и зреть",зелёный дубовый зреть зреть,15 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,0
Татьяна,"Зеленые и деревянные((( Все предыдущие разы были вкусные, а эта поставка невкусная оказалась(((((((((((((",зелёный деревянный всё предыдущий вкусный поставка невкусный,15 мая 2025  · Карта: xxx43,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Екатерина,"Мне очень понравились, есть аромат, очень сочные! Не очень сладкие, но для меня это плюс",очень понравиться аромат очень сочный не очень сладкий плюс,15 мая 2025  · Карта: xxx25,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,1,1,1
СВЕТЛАНА ИВАНОВНА,"Вкусненький, спелый, сочный, персик сладкий, с легкой кислинкой, ароматный 🍯 Понравился.",вкусненький спелый сочный персик сладкий лёгкий кислинка ароматный понравиться,15 мая 2025  · Карта: xxx20,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Ирина,"Вкусные, сочные персики. Привезли твердые Через день-два стали мягче. Мне понравились, можно было брать больше.",вкусный сочный персик привезти твёрдый деньдва мягкий понравиться брать большой,15 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Mb,Для начала сезона довольно вкусные. Потребительской степени зрелости.,начало сезон довольно вкусный потребительский степень зрелость,15 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,1,1,1
ЛИЛИЯ,"Половину привезли мягкие как просила, половину твёрдых незрелых зелёных как не просила( хотелось бы чтобы сборщики читали комментарии к заказу",половина привезти мягкий просить половина твёрдый незрелый зелёный не просить хотеться сборщик читать комментарий заказ,15 мая 2025  · Карта: xxx91,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Виктория,"Просто вата
Так ещё и возврат отклонен👎🏽",просто вата возврат отклонен👎🏽,15 мая 2025  · Карта: xxx10,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,0
Людмила Викторовна,Мне персики понравились,персик понравиться,15 мая 2025  · Карта: xxx95,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Покупатель,Красота! 🥰,красота,15 мая 2025  · Карта: xxx26,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Елизавета,"персики балдеж!! сладкие сочные, все как надо!! всем брать 100%",персик балдёж сладкий сочный всё брать,15 мая 2025  · Карта: xxx56,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Лариса,"Кисловаты, конечно, но для этого времени года нормально",кисловатый нормально,15 мая 2025  · Карта: xxx30,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,1,1,1
Инна,"Замечательные персики, спелые, сочные и достаточно сладкие, сплошное удовольствие",замечательный персик спелый сочный достаточно сладкий сплошной удовольствие,15 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Дарья,"Страшненькие, но очень вкусные! Даже которые на вид были зелеными, оказались сочными и насыщенными внутри",страшненький очень вкусный вид зелёный сочный насыщенный внутри,15 мая 2025  · Карта: xxx66,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Илона,"Слегка кашеобразные, слегка.
А так весьма вкусно, для этого времени года.",слегка кашеобразный слегка весьма вкусно,15 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,1,1,1
Елена,"Сначала показалось, что хорошие персики, да - по рукам не текут, но и не резиновые. Часа через 2 стал сильно болеть живот, что-то с ними не то, больше подумать не на что. И это при том, что помимо обычного мытья под краном, потом обдаю кипятком, т.к. непонятно какими руками их срывали и т.п.",сначала показаться хороший персик рука не течь не резиновый сильно болеть живот чтоть не большой подумать не помимо обычный мытьё кран обдавать кипяток непонятно рука срывать,15 мая 2025  · Карта: xxx41,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Валентина,"СПб, 5-й Предпортовый. Персики вкуснющие, сочные, ароматные!!! Скорее бы снова появились в наличии, обязательно закажу побольше.",предпортовый персик вкуснющий сочный ароматный скорее снова появиться наличие обязательно заказать большой,15 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Татьяна,"Персики залежалые, некоторые подвяли, сока нет совсем в них,как варёные, не вкусные",персик залежалый некоторый подвянуть сок нихкак варёный не вкусный,15 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,2,382,руб,/кг,0,0,0
НАТАЛИ,"Для весны очень даже приличные персики. Не жесткие, и даже вкус какой-то есть. А то цитрусовые за зиму надоели 🙂",весна очень приличный персик не жёсткий вкус какойтый цитрусовый зима надоесть,15 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,1,1,1
Анна,"Часть зелёных, вторая часть испорченых",часть зелёный второй часть испорченый,15 мая 2025  · Карта: xxx71,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Аделя,"Мелкие, невзрачные, местами со сморщенной кожицей",мелкий невзрачный место сморщенный кожица,15 мая 2025  · Карта: xxx36,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
МАРИЯ,"Вкусные персики, спелые.",вкусный персик спелый,15 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
ИРИНА,"Персики небольшие по размеру, но при этом сладкие и сочные. Прекрасное начало сезона.",персик небольшой размер сладкий сочный прекрасный начало сезон,15 мая 2025  · Карта: xxx80,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Марина,"Сочные, но не созрели до конца, полоаинка вкусная, половинка зеленая.",сочный не созреть конец полоаинк вкусный половинка зелёный,15 мая 2025  · Карта: xxx89,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,4,382,руб,/кг,1,1,1
Наталья,"Персики размером с абрикос, при этом весь в каких-то странных тёмных пятнах, которые ещё и мягкие, в некоторых местах сморщенный. Пробовать на вкус не решилась",персик размер абрикос какихтый странный тёмный пятно мягкий некоторый место сморщенный пробовать вкус не решиться,15 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,2,382,руб,/кг,0,0,0
Милана,"Совершенно безвкусные, просто вата даже без запаха, текстура мякоти только от персика, а больше от персика в этих персиках ничего нет. Но всё спелое и целое пришло. Возможно сорт такой «никакой»",совершенно безвкусный просто вата запах текстура мякоть персик большой персик персик всё спелый целое прийти возможно сорт никакой,15 мая 2025  · Карта: xxx91,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,2,382,руб,/кг,0,0,0
Светлана Леонидовна,"Очень мелкие, недозрелые, ватные, косточку невозможно отделить. Полежали один день и сморщились",очень мелкий недозрелый ватный косточка невозможно отделить полежать сморщиться,14 мая 2025  · Карта: xxx07,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Дарья,Вкусные,вкусный,14 мая 2025  · Карта: xxx13,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Евгений,Сладкие сочные персики,сладкий сочный персик,14 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Елена,Кислые,кислый,14 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,1,0,0
Ирина,"Вполне оправдали ожидания, вкусные , спелые, сладко кислые",вполне оправдать ожидание вкусный спелый сладко кислый,14 мая 2025  · Карта: xxx61,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Татьяна,"Вообще не спелые и твердые, пришлось выкинуть",вообще не спелый твёрдый прийтись выкинуть,14 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,0
Вера,"Персики, сочные, сладкие, очень вкусные",персик сочный сладкий очень вкусный,14 мая 2025  · Карта: xxx56,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Елена,Жесткие и кислые,жёсткий кислый,14 мая 2025  · Карта: xxx84,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Таня,"Сладкие и мягкие, внешне не очень симпатичные, но вкусные",сладкий мягкий внешне не очень симпатичный вкусный,14 мая 2025  · Карта: xxx59,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Наталья,Кислые,кислый,14 мая 2025  · Карта: xxx11,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,1,0,0
Елена,"Дубовые, безвкусные. Один покрылся плесенью на утро😱",дубовый безвкусный покрыться плесень утро😱,14 мая 2025  · Карта: xxx32,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,0,0,1
НАТАЛЬЯ,Вкусные персики,вкусный персик,14 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Елена Зименко,"Вкусные, очень мягкие, сладкие. Но привоз небольшой и разбирают быстро, поэтому последние полкило забирать не рекомендую - остаются мятые",вкусный очень мягкий сладкий привоз небольшой разбирать быстро поэтому последний полкило забирать не рекомендовать оставаться мятый,14 мая 2025  · Карта: xxx74,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,0,1,1
Людмила,Безвкусный абсолютно,безвкусный абсолютно,14 мая 2025  · Карта: xxx12,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,2,382,руб,/кг,0,0,0
Одерий Светлана Юрьевна,Обсолютно безвкусные,обсолютный безвкусный,14 мая 2025  · Карта: xxx84,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,1,382,руб,/кг,1,0,1
Анна,"Вкуса нет от слова совсем, картошка сырая вкуснее",вкус картошка сырой вкусный,14 мая 2025  · Карта: xxx00,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,1
Ирина,Персики привезли спелые и свежие . Не совсем сочные как в сезон . Но хорошие,персик привезти спелый свежий не сочный сезон хороший,14 мая 2025  · Карта: xxx65,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Елена,"Персик не понравился,жесткий,кислый,понимаю,что не сезон,но очень захотелось,и увы",персик не понравилсяжесткийкислыйпонимаючтый не сезонный очень захотелосий увы,14 мая 2025  · Карта: xxx18,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,0,0,0
Алена,"Не спелые, твердые.",не спелый твёрдый,14 мая 2025  · Карта: xxx31,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,2,382,руб,/кг,0,0,0
ИРИНА,На вкус как персиковая трава...,вкус персиковый трава,14 мая 2025  · Карта: xxx91,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,3,382,руб,/кг,1,0,1
Ксения,"Вкусные персики. Мягкие и сладкие, понравились",вкусный персик мягкий сладкий понравиться,14 мая 2025  · Карта: xxx14,https://vkusvill.ru/goods/persik-egipet-36720.html,Персик Египет,5,382,руб,/кг,1,1,1
Светлана,"Покупала 2 апреля, отличный был чеснок",покупать отличный чеснок,16 мая 2025  · Карта: xxx84,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",5,143,руб,/шт,1,1,1
Яна,"Странно , но и у меня особо корешков нет , и подрещано как у китайских . Раньше были густые корешки . Скорей всего Китай … (",странно особо корешковый подрещать китайский ранний густой корешок скорый китай,15 мая 2025  · Карта: xxx05,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",1,143,руб,/шт,0,0,0
ОЛЬГА ВИКТОРОВНА,"Вчера этот чеснок был с корешками, сегодня все головки чеснока, за исключением двух упаковок,с выбритыми корешками, китайскмй вариант ...что? Всю ночь вынимали фермерский чеснок и засовывали в фиолетовую упаковку китайский выбритый чеснок?",вчера чеснок корешок всё головка чеснок исключение упаковокс выбрить корешок китайскмть вариант ночь вынимать фермерский чеснок засовывать фиолетовый упаковка китайский выбрить чеснок,15 мая 2025  · Карта: xxx08,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",3,143,руб,/шт,0,0,0
СЕРГЕЙ,"Обычный чеснок по высокой цене. Производство Китай. Подкупает лишь название ""Фермерский"".",обычный чеснок высокий цена производство китай подкупать лишь название фермерский,14 мая 2025  · Карта: xxx09,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",3,143,руб,/шт,0,0,0
Ирина,"Замечательный крепкий, ароматный чеснок.",замечательный крепкий ароматный чеснок,14 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",5,143,руб,/шт,1,1,1
ДЕНИС,Похож на китайский чеснок,похожий китайский чеснок,14 мая 2025  · Карта: xxx22,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",3,143,руб,/шт,0,0,0
Любовь,"Чеснок называется фермерским, доставили явно старый, с зелеными проростками, пришлось вырезать, чтобы все не выбрасывать. Очень жаль",чеснок называться фермерский доставить явно старый зелёный проросток прийтись вырезать всё не выбрасывать очень жаль,14 мая 2025  · Карта: xxx93,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",4,143,руб,/шт,0,1,0
Елена,"Чеснок плотный, свежий, сочный. Ароматный.",чеснок плотный свежий сочный ароматный,13 мая 2025  · Карта: xxx77,https://vkusvill.ru/goods/chesnok-fermerskiy-100-g-55867.html,"Чеснок Фермерский,100 г",5,143,руб,/шт,1,1,1
